hex_id,F1,F2,F3,F4,F5,class_km
881f2a6027fffff,-0.13677503446567194,-0.210122603131493,1.7169783598051225,-0.37211472624789677,-0.41015830317124174,3
881f2a0d95fffff,0.4316756043897607,-0.08616417245584415,-0.13917236019198082,-0.551410815292462,0.5031578766394209,0
881f2a756bfffff,-0.38901091225259127,0.054537399652410605,-0.06263447430915771,-0.21464988095319537,-0.22137217813625729,0
881f2a62c7fffff,-0.11261479609323961,-0.1582073491023589,-1.0022074642129732,-0.10682284586689594,-0.7034233832776192,0
881f2a6417fffff,-0.49366756301075104,-0.024606941771315262,1.0630782125194973,-0.9011219486680714,0.9680570803373048,3
881f2a6eb9fffff,0.2109591420025871,7.529940157997185,-0.5480131904876302,-0.2402762038715657,-1.520787431927004,6
881f2a6567fffff,2.0654304161134456,-0.1440569261277487,-0.779256553568073,-0.6083097116632057,0.7833531397602443,0
881f2a66b7fffff,-0.42156400389860005,-0.08430883179954606,-1.0688273235833423,-0.24906820403621943,-0.24363410219656845,0
881f2a6005fffff,0.29623313091947934,-0.2231727691578944,0.4846763155118622,-0.22913901123353717,-0.6195888543332896,3
881f2a7549fffff,-0.35830937516103484,-1.247889081506811,-0.5970396247010255,1.0702664808242146,0.3781007845278955,0
881f2a62a5fffff,0.14864637041979947,-0.236524730315217,-0.1980905923442581,-0.05632604529571351,-1.0215256064089375,0
881f2a6e97fffff,-0.5524893922229738,-0.1056793578358089,0.18612349594300182,-0.22375946348991357,-0.3137352421186111,0
881f2a6545fffff,-0.17107461744540373,-0.14647957096709002,-0.48151951197081294,-0.20925069279148006,-0.48593132140062995,0
881f2a6695fffff,0.0783218045961123,-0.15870139209595113,-0.5100239715172172,-0.21342373584931132,-0.47103398058592294,0
881f2a7527fffff,-0.4013991397796568,-0.14088122025199776,-0.707990590407919,-0.09506589020502935,-0.5083988559037591,0
881f2a6283fffff,-0.1965597001958978,-0.11867051367300495,-1.0292833914611632,-0.20019188119529494,-0.40650117855187723,0
881f2a6523fffff,-0.44898930543714793,-0.20674291088065805,-0.9684678199318068,0.2325532223826338,-1.0472552360690721,0
881f2a2925fffff,-0.6167741792457931,-0.19918703593701176,-0.658901725170297,1.2852162696488132,1.704475592563955,5
881f2a6111fffff,-0.25585338412317943,-1.1810359585961803,0.8246836859168675,1.9655374053897339,0.43689835138110933,5
881f2a6261fffff,0.06360221309434311,-0.23121319577757707,1.1948712835720074,0.3186823049149505,-0.2705677020248384,3
